NSE Outside,W Crawfish NE Arm Hd,113-32-005,4300,3500,8170,4350,4200,3065,6970,1310,1800,300,2000,610
NSE Outside,Sister Lake SE Head,113-72-005,14900,3000,5240,3000,8300,8125,4090,3470,3570,270,3138,2262
NSE Outside,Ford Arm Creek,113-73-003,8475,820,595,1730,1320,570,1286,2230,830,410,786,120
NSE Outside,Black River,113-81-011,14500,4200,7500,5000,2070,8425,2725,9600,4500,7300,5000,5400
SSE,Hidden Inlet,101-11-101,1500,2000,50,16000,1300,285,4000,208,1260,6500,95,88
SSE,Tombstone River,101-15-019,200,10000,8000,60000,23000,10500,25000,5000,55000,16000,30000,40000
SSE,Fish Creek-Portland Canal,101-15-085,418,1680,2200,2455,633,2466,7759,1346,14803,7270,2440,2975
SSE,Keta River,101-30-030,500,4000,12000,20000,11900,4250,10000,20000,7000,10000,12967,4500
SSE,Marten River,101-30-060,1000,4000,1000,13000,8000,500,5200,5000,2000,2000,6000,800
SSE,Carroll Creek,101-45-078,1229,4207,3500,14700,2000,2560,17500,3600,12000,10000,3000,4500
SSE,Wilson River-Smeaton Bay,101-55-020,800,5,4000,4000,13000,10000,1000,5000,800,1200,500,2000
SSE,Blossom River,101-55-040,3000,5000,10000,12000,10000,2500,18000,20000,6000,12500,4000,10000
SSE,King Creek,101-71-04K,1000,800,2600,3000,5000,5000,7000,8500,3000,6500,3500,3500
SSE,Eulachon River,101-75-015,144,2000,543,1000,200,494,1000,2000,1480,1225,1800,919
SSE,Harris River,102-60-082,1000,4229,3500,21000,1682,4240,12000,5000,2000,20000,2000,3000
SSE,Point Beauclerc S Arm E,105-20-012,250,830,550,2222,2498,594,1475,200,1595,1320,874,971
SSE,Calder Creek,105-42-005,1000,1623,1350,7218,1570,1030,1165,4000,6000,4000,520,673
SSE,Oerns Creek,107-40-025,97,400,300,200,1400,800,400,671,948,1200,527,500
SSE,Harding River,107-40-049,1300,5231,1150,2400,3500,1900,3800,3300,13351,5600,1500,3000
