ReleaseSite,Latitude,Longitude,Stream_within_40km
TAKATZ BAY 112-11,57.141273,-134.841961,Chaik Bay Creek
TAMGAS CR 101-25,55.131679,-131.576008,Dall Head Creek
TAMGAS CR 101-25,55.131679,-131.576008,Bostwick Bay SW Side
TAMGAS CR 101-25,55.131679,-131.576008,Bostwick Creek
TAMGAS CR 101-25,55.131679,-131.576008,Grant Creek-Gravina
TAMGAS CR 101-25,55.131679,-131.576008,Vallenar Creek
TAMGAS CR 101-25,55.131679,-131.576008,Ketchikan Creek
TAMGAS CR 101-25,55.131679,-131.576008,Herring Cove
TAMGAS CR 101-25,55.131679,-131.576008,Spit Creek
TAMGAS CR 101-25,55.131679,-131.576008,Lucky Cove
THANE NET PENS 111-40,58.262427,-134.336998,Turner Creek
THANE NET PENS 111-40,58.262427,-134.336998,Slocum Creek
THANE NET PENS 111-40,58.262427,-134.336998,Hilda Creek
THANE NET PENS 111-40,58.262427,-134.336998,Admiralty Creek
THANE NET PENS 111-40,58.262427,-134.336998,Middle Point Creek
THANE NET PENS 111-40,58.262427,-134.336998,1st W Admiralty Creek
THANE NET PENS 111-40,58.262427,-134.336998,West Cabin Creek
THANE NET PENS 111-40,58.262427,-134.336998,Cabin Creek-Admiralty Island
THANE NET PENS 111-40,58.262427,-134.336998,Fowler Creek-Young Bay
THANE NET PENS 111-40,58.262427,-134.336998,Limestone Creek
THOMAS BAY 110-12,56.979897,-132.817815,Dry Bay Creek
THOMAS BAY 110-12,56.979897,-132.817815,Twelvemile Creek Fred S
THOMAS BAY 110-12,56.979897,-132.817815,Fivemile Creek Sukoi Island
THOMAS BAY 110-12,56.979897,-132.817815,Petersburg Creek
THOMAS BAY 110-12,56.979897,-132.817815,Portage Bay Head
THOMAS BAY 110-12,56.979897,-132.817815,2nd W of West Point
THOMAS BAY 110-12,56.979897,-132.817815,Dale Creek-Francis Anch
THOMAS BAY 110-12,56.979897,-132.817815,Farragut River
THOMAS BAY 110-12,56.979897,-132.817815,Farragut Bay N Arm
