Sub-region,Management Area,Stream_Number,StreamName,STAT_AREA_NAME,AWC_CODE,LATITUDE,LONGITUDE,Watershed_ID,Watershed_km2,mean_flow,CV_flow,Stream_spans_2_WSheds,Scenario_A,Scenario_B,Notes,Triple-checked
SSE,Petersburg,107-30-080,Brad Creek NW Anita Bay,Zimovia Strait/Anita Bay,107-30-10800,56.2003873,-132.4976631,7424,162,13,0.49,,,X,"Same WShed as Anita Bay Head W, Flat Creek-Mosman Inlet, Mosman Creek E Head, Mosman Inlet NW Head, and Mosman Inlet SE Head",X
SSE,Petersburg,107-40-064,Bradfield Canal SW E,Blake Channel,107-40-10640,56.19109833,-131.8200718,7885,11,0.75,0.55,,,X,Same 2nd WShed as Bradfield Canal SW W,X
SSE,Petersburg,107-40-065,Bradfield Canal SW W,Blake Channel,107-40-10650,56.18945614,-131.8245296,"7884, 7885",17,1.08,0.62,X,,X,Same WShed as Bradfield Canal SW E (7885),X
SSE,Petersburg,107-40-053,Bradfield River E Fork,Blake Channel,107-40-10530,56.21205209,-131.5421788,8191,911,79.82,0.61,,,X,,X
SSE,Ketchikan,103-40-080,Breezy Bay Head,Tlevak Strait,103-40-10800,55.15707138,-133.1141701,2689,23,1.09,0.51,,X,,,X
NSE Inside,Sitka,113-51-001,Broad Creek,East Peril Straits,113-51-10010,57.59173051,-135.3735727,9864,39,3.65,0.51,,X,,,X
SSE,Petersburg,106-41-042,Buster Creek,Sumner Strait/Pt Baker/Macnamara,106-41-10420,56.32472994,-133.4404227,7191,48,3.33,0.5,,X,,,X
NSE Inside,Juneau,111-41-017,Cabin Creek-Admiralty Island,Youngs Bay,111-41-10170,58.16002265,-134.6786498,11724,28,2.47,0.59,,,X,Same WShed as West Cabin Creek,X
NSE Inside,Juneau,114-80-050,Cabin Creek-Excursion Inlet,Excursion Inlet,114-80-10500,58.38000922,-135.4242007,12091,6,0.48,0.5,,X,,,X
NSE Inside,Juneau,114-40-025,Cabin Creek-Idaho Inlet,Idaho Inlet,114-40-10250,58.12270712,-136.182351,"10832, 10803",12,1,0.49,X,,X,,X
SSE,Ketchikan,102-60-042,Cabin Creek-Polk Inlet,Kasaan Bay,102-60-10420,55.42202133,-132.4795061,4147,192,16.94,0.46,,,X,"Same WShed as 142F Creek, Dog Salmon Creek-Kasaan Bay, Goose Bay Creek, and Rock Creek",X
SSE,Petersburg,105-42-005,Calder Creek,Shakan Bay/Calder Bay/El Capitan Pass,105-42-10050,56.1998,-133.5222,6476,45,3.21,0.47,,X,,,X
NSE Outside,Sitka,113-41-034,Camp Coogan,Sitka Sound,113-41-10344,57.003894,-135.22678,"8581, 8607",15,1.16,0.5,X,X,,,X
NSE Inside,Petersburg,110-22-014,Cannery Cove-Pybus Bay,Pybus Bay,110-22-10140,57.306248,-134.15955,9659,12,0.32,0.54,,X,,,X
SSE,Petersburg,105-20-008,Cannery Creek Beauclerc,Port Beauclerc,105-20-10080,56.30625466,-133.9943288,6692,10,0.49,0.54,,X,,,X
SSE,Ketchikan,102-40-052,Cannery Creek W Arm,Cholmondeley Sound,102-40-10520,55.24386177,-132.326137,"3583, 3490",196,17.91,0.48,X,,X,"Same WShed as W Arm Chol Sd Head (3583), W Arm Chol Sd Head S (3583), Disappearance Creek (3490), and W of Disappearance (3490)",X
SSE,Petersburg,107-20-020,Canoe Pass-Etolin Island,Anan/Fools/Menefee/Deer Is/N Ernest Sd,107-20-10200,56.02164766,-132.2127363,"6920, 6741",42,3.16,0.58,X,,X,,X
SSE,Ketchikan,101-45-078,Carroll Creek,Mountain Point to Carroll Point,101-45-10780,55.64054412,-131.3652275,4673,544,48.72,0.43,,,X,Same WShed as Nigelius Creek and Spit Creek,X
NSE Inside,Petersburg,110-15-003,Cat Creek Point Highland,Cape Fanshaw to Bay Point,110-15-10030,57.1450271,-133.4243039,9532,72,3.71,0.55,,X,,,X
NSE Inside,Petersburg,109-42-009,Cathedral Falls Creek,Kake/Kadake Bay/Keku Strait,109-42-10090,56.89466196,-133.7426522,8942,114,3.63,0.6,,X,,,X
NSE Inside,Juneau,112-80-028,Chaik Bay Creek,Chaik Bay,112-80-10280,57.306752,-134.443918,9528,55,4.17,0.48,,X,,,X
NSE Inside,Petersburg,109-30-008,Chapin Bay Head,Eliza Harbor/Herring Bay/Tyee,109-30-10080,57.16242539,-134.3545726,9225,17,0.79,0.51,,X,,,X
SSE,Ketchikan,103-90-058,Charley Creek,Sea Otter Sound,103-90-10580,55.96116228,-133.6432618,5390,24,1.01,0.56,,X,,Same WShed as Edna Bay Head,X
SSE,Ketchikan,101-51-006,Checats Creek,Fox Point/Winstanley,101-51-10060,55.48429046,-130.8729508,5603,33,3.05,0.54,,X,,,X
NSE Inside,Juneau,114-23-035,Chicken Creek,Point Adolphus Area,114-23-10350,58.2333444,-135.7158323,11447,72,5.04,0.52,,X,,,X
NSE Inside,Juneau,115-32-025,Chilkat River,Chilkat Inlet,115-32-10250,59.22620966,-135.5098265,NA,NA,NA,NA,NA,NA,NA,,X
SSE,Ketchikan,101-71-04E,Choca Creek,Walker Cove/Chichamin,101-71-10040-2004,55.83273279,-130.8555603,7049,1709,184.19,0.6,,,X,"Same WShed as Clear Creek, Humpy Creek, and King Creek",X
SSE,Ketchikan,103-80-031,Chuck Lake Creek,St Phillips/Warmchuck,103-80-10310,55.75864687,-133.4721135,4733,8,0.44,0.54,,X,,,X
NSE Inside,Petersburg,110-32-009,Chuck River,Windham Bay,110-32-10090,57.57833247,-133.3517429,10527,169,8.91,0.54,,X,,"~40% of the upper FW channels of Chuck River are in another WShed (>25%), but that WShed drains to the other side of the island so its outlet isn’t close to the Chuck River. Además, the Chuck River WShed has a few other smaller channels that likely compensate for the missed flow in the other WShed",X
SSE,Petersburg,107-10-071,Chum Creek S Etolin Mid,Union Bay/Emerald Bay/S Ernest Sound,107-10-10720,55.93543118,-132.2635994,6395,8,0.59,0.57,,,X,Same WShed as S Etolin Island East and Kudays Creek S Etolin,X
SSE,Petersburg,106-30-012,Chum Creek-Coffman,Steamer Bay/Kindergarten/Quiet Harbor,106-30-10120,56.0127096,-132.8221475,"6291, 6233",21,1.3,0.57,X,,X ,Same 2nd WShed as Coffman Creek,X
SSE,Ketchikan,101-71-04C,Clear Creek,Walker Cove/Chichamin,101-71-10060,55.82516465,-130.9280627,7049,1709,184.19,0.6,,,X,"Same WShed as Choca Creek, Humpy Creek, and King Creek",X
NSE Inside,Sitka,112-21-005,Clear River Kelp Bay,Kelp Bay,112-21-10050,57.25887042,-135.0096435,9339,151,18.49,0.54,,,X,,X
SSE,Petersburg,106-30-015,Coffman Creek,Steamer Bay/Kindergarten/Quiet Harbor,106-30-10160,55.9986386,-132.8557882,6291,15,0.91,0.57,,,X,"Same WShed as Chum Creek-Coffman. Upper ~40% of channels are in 2nd WShed, but that WShed drains distantly",X
NSE Inside,Juneau,112-42-016,Corner Bay Creek,Tenakee Springs,112-42-10160,57.73083989,-135.1208444,10200,30,2.07,0.51,,X,,,X
SSE,Ketchikan,101-80-003,Cow Creek,Bell Island/North Behm Canal,101-80-10030,55.93472405,-131.3810675,7237,368,32.37,0.56,,,X,,X
NSE Inside,Juneau,115-20-062,Cowee Creek-Berners Bay,Berners Bay,115-20-10620,58.68069662,-134.9556172,13132,107,6.9,0.58,,X,,,X
NSE Inside,Juneau,112-43-012,Crab Bay Head,Crab Bay,112-43-10100,57.73817981,-135.4604041,10152,118,11.7,0.49,,,X,Same WShed as Saltery Bay,X
NSE Inside,Juneau,112-43-002,Crab Bay South Side,Crab Bay,112-43-10020,57.72558232,-135.3639209,10138,40,3.79,0.51,,X,,,X
SSE,Ketchikan,103-60-050,Crab Creek,Big Salt/Trocadero Bay,103-60-10500,55.48380123,-133.1261318,3907,20,1.47,0.49,,X,,,X
SSE,Petersburg,107-45-005,Crittenden Creek,Earl West Cove Special Harvest Area,107-40-10050,56.4915572,-132.260092,8574,99,7.8,0.58,,,X,Same WShed as E of Crittenden Creek,X
NSE Inside,Petersburg,109-30-017,Curtiss Creek,Eliza Harbor/Herring Bay/Tyee,109-30-10170,57.05884579,-134.5421016,8937,45,3.47,0.5,,,X,Same WShed as Surprise Harbor East and Tyee Head East ,X
NSE Inside,Petersburg,110-14-008,Dale Creek-Francis Anch,Farragut Bay,110-14-10080,57.15824483,-133.1292077,9688,20,0.64,0.55,,X,,,X
SSE,Ketchikan,101-27-019,Dall Head Creek,Nichols Passage,101-27-10190,55.16375527,-131.7422864,3641,9,0.71,0.54,,X,,,X
SSE,Ketchikan,103-11-041,Datzkoo Harbor Head,Lower Cordova Bay,103-11-10410,54.74733711,-132.7762798,"1865, 1844",21,0.51,0.54,X,,X,,X
SSE,Ketchikan,101-90-090,Deanna Creek,Higgins Pt to Nose Pt/Naha/Traitors,101-90-10900,55.71495212,-131.8651295,5756,28,1.96,0.55,,X,,,X
SSE,Ketchikan,103-60-087,Deep Bay,Big Salt/Trocadero Bay,103-60-10850,55.34237445,-133.0401691,3458,16,0.68,0.51,,,X,Same WShed as Perlas Point Creek,X
NSE Outside,Sitka,113-64-001,Deep Bay Head,Deep Bay,113-64-10010,57.45492631,-135.653757,9419,48,4.12,0.5,,X,,,X
NSE Inside,Sitka,109-10-023,Deep Cove NW Head,Southeast Baranof Island,109-10-10230,56.55058469,-134.7415396,7140,96,9.21,0.45,,,X,,X
SSE,Ketchikan,103-25-015,Deer Creek,Hetta Inlet/Sukkwan Strait,103-25-10150,55.24144029,-132.6935666,3354,105,9.08,0.48,,,X,Same WShed as Portage Creek-Sulzer Passage,X
SSE,Ketchikan,103-90-080,Devilfish Bay Head,Sea Otter Sound,103-90-10800,56.08155473,-133.390781,6229,51,3.58,0.49,,,X,Same WShed as Devilfish Bay N Side,X
SSE,Ketchikan,103-90-081,Devilfish Bay N Side,Sea Otter Sound,103-90-10810,56.10199895,-133.328961,6229,51,3.58,0.49,,,X,Same WShed as Devilfish Bay Head ,X
SSE,Ketchikan,102-30-063,Dickman Bay,Moira Sound,102-30-10630,55.05583,-132.2840461,2768,29,2.02,0.51,,,X,Same WShed as Dickman Bay Head and Kugel Creek,X
SSE,Ketchikan,102-30-061,Dickman Bay Head,Moira Sound,102-30-10610,55.05544103,-132.3022599,2768,29,2.02,0.51,,,X,Same WShed as Dickman Bay and Kugel Creek,X
SSE,Ketchikan,102-40-043,Disappearance Creek,Cholmondeley Sound,102-40-10430,55.1311821,-132.333369,3490,88,7.92,0.48,,,X,Same WShed as Cannery Creek W Arm and W of Disappearance,X
SSE,Ketchikan,103-60-035,Dog Salmon Creek,Big Salt/Trocadero Bay,103-60-10350,55.62512337,-132.9893171,4529,160,13.39,0.46,,,X,"Same WShed as Big Salt Lake N Side M, Blackbear Creek Big Salt, and Steelhead Creek. ~50% of creek falls into other WShed, but other streams in assigned WShed (4529) more than compensate for that flow and Dog Salmon Creek should not have greater flow than other creeks in 4529",X
SSE,Ketchikan,102-60-038,Dog Salmon Creek-Kasaan Bay,Kasaan Bay,102-60-10380,55.34757716,-132.5042072,4147,192,16.94,0.46,,,X,"Same WShed as 142F Creek, Cabin Creek-Polk Inlet, Goose Bay Creek, and Rock Creek",X
SSE,Petersburg,107-30-090,Dog Salmon NE Etolin,Zimovia Strait/Anita Bay,107-30-10900,56.25394677,-132.4010629,"7632, 7743",33,2.5,0.62,X,X,,,X
NSE Inside,Petersburg,110-22-012,Donkey Creek,Pybus Bay,110-22-10100,57.33787121,-134.1715599,9736,23,1.35,0.49,,X,,,X
SSE,Petersburg,106-41-065,Douglas Bay,Sumner Strait/Pt Baker/Macnamara,106-41-10650,56.48208161,-133.3099912,7905,13,0.69,0.59,,X,,,X
SSE,Ketchikan,103-60-066,Doyle Bay East Side,Big Salt/Trocadero Bay,103-60-10660,55.41257091,-133.0357307,3667,20,1.54,0.5,,X,,Same WShed as Doyle Creek,X
SSE,Ketchikan,103-60-065,Doyle Creek,Big Salt/Trocadero Bay,103-60-10650,55.4181245,-133.0338517,3667,20,1.54,0.5,,,X,Same WShed as Doyle Bay East Side,X
NSE Inside,Petersburg,110-13-004,Dry Bay Creek,Dry Bay/Tohdahl Creek,110-13-10040,57.06871,-133.02373,"9484, 9513",37,2.62,0.61,X,X,,,X
SSE,Petersburg,107-45-006,E of Crittenden Creek,Earl West Cove Special Harvest Area,107-40-10060,56.49110238,-132.2575258,8574,99,7.8,0.58,,,X,Same WShed as Crittenden Creek,X
NSE Inside,Juneau,112-45-036,E of Seal Bay Ent,Central Tenakee Inlet,112-45-10360,57.83292129,-135.497957,"10311, 10268",11,0.98,0.51,X,X,,Same 2nd WShed as E Side Seal Bay (10268),X
SSE,Ketchikan,103-50-032,E of Waterfall Creek,Bucareli Bay,103-50-10320,55.28440873,-133.1362841,"3145, 3109",27,1.62,0.53,X,,X,Same WSheds as Ulloa Bay and Barry Creek (3145),X
NSE Inside,Juneau,112-46-004,E Side Seal Bay,Seal Bay,112-46-10040,57.82578855,-135.5497976,"10268, 10245",86,8.02,0.51,X,,X,Same 2nd WShed as E of Seal Bay Ent (10268) and Seal Bay Head (10245),X
SSE,Petersburg,106-10-030,Eagle Creek-Luck Lake,Ratz Harbor Shore,106-10-10300,55.96747569,-132.7215032,6130,101,8.99,0.47,,X,,,X
SSE,Petersburg,107-40-055,Eagle River,Blake Channel,107-40-10550,56.15469772,-131.5882798,NA,NA,NA,NA,NA,NA,NA,,X
NSE Inside,Juneau,114-25-012,East Homeshore Creek,Homeshore,114-25-10120,58.30922257,-135.3731028,11852,9,0.68,0.55,,,X,Same 2nd WShed as Homeshore Creek,X
NSE Inside,Juneau,114-23-024,East Kahtaheena River,Point Adolphus Area,114-23-10240,58.40670564,-135.5654953,"12124, 12088",24,1.9,0.54,X,,X,Same 2nd WShed as Kahtaheena River (12124),X
SSE,Petersburg,105-10-017,East of Bear Harbor,Affleck Canal/Spanish Is/Louise Cove,105-10-10170,56.22663627,-134.0553782,NA,NA,NA,NA,NA,NA,NA,No assignable WShed ,X
SSE,Ketchikan,103-60-090,East of Caldera,Big Salt/Trocadero Bay,103-60-10900,55.37473964,-133.1031754,3523,9,0.57,0.5,,X,,,X
NSE Inside,Petersburg,109-52-001,East of Pt Sullivan,Rowan Bay and Bay of Pillars,109-52-10010,56.67427305,-134.3455146,7937,8,0.43,0.48,,X,,,X
NSE Inside,Petersburg,110-23-040,East of Snug Cove,Gambier Bay,110-23-10210,57.41776032,-133.9329938,"10023, 9965",17,0.65,0.58,X,X,,,X
NSE Inside,Juneau,112-45-032,Eaton Creek,Central Tenakee Inlet,112-45-10320,57.81494657,-135.4249088,"10292, 10291",19,1.7,0.51,X,X,,,X
SSE,Ketchikan,103-90-057,Edna Bay,Sea Otter Sound,103-90-10570,55.95282372,-133.6625629,NA,NA,NA,NA,NA,NA,NA,Would be too inaccurate compared to neighboring streams in 2nd WShed,X
SSE,Ketchikan,103-90-059,Edna Bay Head,Sea Otter Sound,103-90-10590,55.96905093,-133.6341921,5390,24,1.01,0.56,,,X,Same WShed as Charley Creek,X
SSE,Petersburg,105-42-009,El Capitan Creek,Shakan Bay/Calder Bay/El Capitan Pass,105-42-10090,56.16250447,-133.3405966,6281,103,7.32,0.49,,,X,Same WShed as El Capitan-Aneskett and El Capitan Dry Pass,X
SSE,Petersburg,105-42-012,El Capitan Dry Pass,Shakan Bay/Calder Bay/El Capitan Pass,105-42-10120,56.14600519,-133.3498305,6281,103,7.32,0.49,,,X,"Same WShed as El Capitan Creek and El Capitan-Aneskett. Most of the stream is within other 2nd WShed, but that WShed drains distantly and the missing flow for this stream should be accounted for by its large WShed which it shares with other streams",X
SSE,Ketchikan,103-90-006,El Capitan East Side,Sea Otter Sound,103-90-10060,56.0211896,-133.2522839,5908,7,0.5,0.53,,X,,,X
